BEZEICHNUNG,STR_SCHL,GEMEINDE_KENNUNG,ID,KENNUNG,mw,benannt nach,URL
Eichelesgasse,01638,8421000,84,STR,?,,
Eichenäckerweg,01651,8421000,764,STR,,,
Eichendorffweg,01664,8421000,567,STR,,,
Eichengrund,01677,8421000,255,STR,,,
Eichenhang,01690,8421000,257,STR,,,
Eichhaldenweg,01698,8421000,1565,STR,,,
Eichhornweg,01703,8421000,800,STR,,,
Eichstraße,01706,8421000,1364,STR,,,
Einsteinstraße,01716,8421000,357,STR,m,,https://de.wikipedia.org/wiki/Albert_Einstein
Einsteinweg,01718,8421000,1465,STR,m,,https://de.wikipedia.org/wiki/Albert_Einstein
Eiselauer Weg,01725,8421000,1665,STR,?,,
Eisenbahnstraße,01729,8421000,623,STR,,,
Elchinger Weg,01742,8421000,534,STR,,,
Elisabethenstraße,01755,8421000,377,STR,w,"<strong>Elisabeth von Thüringen</strong>, 1207–1231, im Christentum als Heilige verehrt",https://de.wikipedia.org/wiki/Elisabeth_von_Th%C3%BCringen
Ellerbachweg,01760,8421000,1660,STR,,,
Elsa-Brandström-Weg,01764,8421000,505,STR,w,"<strong>Elsa Brandström</strong>, 1888–1948, schwedische Krankenschwester, die im ersten Weltkrieg in Sibirien Kriegsgefangene betreute. 1933 nach Konflikten mit der NS-Regierung aus Deutschland ausgewandert.",https://de.wikipedia.org/wiki/Elsa_Br%C3%A4ndstr%C3%B6m
Enderlegasse,01768,8421000,693,STR,,,
Engelbergstraße,01781,8421000,350,STR,?,,
Engelgasse,01794,8421000,62,STR,?,,
Ensingerstraße,01807,8421000,140,STR,,,Patrizierfamilie
Ensostraße,01813,8421000,1147,STR,?,,
Erbacher Straße,01820,8421000,650,STR,,,
Erdbeerweg,01833,8421000,726,STR,,,
Erenäcker,01846,8421000,949,STR,,,
Erenlauhweg,01859,8421000,956,STR,,,
Erika-Schmid-Weg,01865,8421000,1803,STR,w,,https://de.wikipedia.org/wiki/Erika_Schmid
Erlenstraße,01872,8421000,704,STR,,,
Erminger Straße,01879,8421000,1066,STR,,,
Erminger Weg,01885,8421000,455,STR,,,
Erminger Wiesen,01886,8421000,1771,STR,,,
Ernst-Abbe-Straße,01890,8421000,1220,STR,m,,https://de.wikipedia.org/wiki/Ernst_Abbe
Ernst-Bauer-Weg,01892,8421000,1804,STR,m,,
Ernst-Wiechert-Weg,01898,8421000,566,STR,m,,https://de.wikipedia.org/wiki/Ernst_Wiechert
Erstetter Weg,01911,8421000,452,STR,,,
Eugen-Bolz-Straße,01924,8421000,258,STR,m,,https://de.wikipedia.org/wiki/Eugen_Bolz
Eugen-Gerstenmaier-Weg,01927,8421000,507,STR,m,,
Eythstraße,01937,8421000,185,STR,?,,
Fabristraße,01950,8421000,181,STR,?,,
Falbenweg,01956,8421000,1757,STR,,,
Faulhaberstraße,01963,8421000,499,STR,?,,
Federmannweg,01976,8421000,412,STR,?,,
Feichtmayrweg,01989,8421000,823,STR,,,
Feldstraße,02002,8421000,864,STR,,,
Ferdinand-Sauerbruch-Weg,02008,8421000,717,STR,m,,https://de.wikipedia.org/wiki/Ferdinand_Sauerbruch
Fichtenstraße,02011,8421000,1385,STR,,,
Finkenstraße,02015,8421000,546,STR,,,
Fischbachhof,02020,8421000,1651,STR,,,
Fischergasse,02028,8421000,31,STR,,,
Fischerhauser Weg,02041,8421000,936,STR,,,
Flohäckerweg,02046,8421000,1747,STR,?,,
Forchenweg,02050,8421000,1464,STR,,,
Forellenweg,02052,8421000,1340,STR,,,
Fort Albeck,02054,8421000,254,STR,,,
Fort Friedrichsau,02056,8421000,1674,STR,,,
Fort Oberer Eselsberg,02057,8421000,1675,STR,,,
Fort Oberer Kuhberg,02058,8421000,1676,STR,,,
Fort Prittwitz,02059,8421000,1677,STR,m,,https://de.wikipedia.org/wiki/Moritz_Karl_Ernst_von_Prittwitz
Fort Safranberg,02060,8421000,241,STR,,,
Fort Söflinger Türmle,02061,8421000,1678,STR,,,
Fort Unterer Eselsberg,02062,8421000,1679,STR,,,
Fort Unterer Kuhberg,02063,8421000,1680,STR,,,
Fraidelweg,02080,8421000,815,STR,,,
Franz-Buck-Straße,02083,8421000,1242,STR,m,,
Franzenhauserweg,02084,8421000,1439,STR,?,,
Franziskusweg,02086,8421000,1626,STR,?,,
Franz-Wiedemeier-Straße,02089,8421000,776,STR,m,,https://de.wikipedia.org/wiki/Franz_Wiedemeier
Frauengraben,02093,8421000,93,STR,ff,Örtlichkeitsangabe: In Richtung des Frauentors bzw. des Standorts der ehemaligen Kirche „Unsere liebe Frau ennet Feld“,
Frauenholzweg,02096,8421000,981,STR,,,
Frauensteige,02106,8421000,193,STR,ff,Örtlichkeitsangabe: In Richtung des Frauentors bzw. des Standorts der ehemaligen Kirche „Unsere liebe Frau ennet Feld“,
